-	ps.	0	none	-	-	-	-	abbr	-
-	pvm	0	none	-	-	-	-	abbr	-
-	päätoim.	0	none	-	-	-	-	abbr	-
-	ransk.	0	none	-	-	-	-	abbr	-
-	room.	0	none	-	-	-	-	abbr	-
-	ruots.	0	none	-	-	-	-	abbr	-
-	s.	0	none	-	-	-	-	abbr	-
-	saks.	0	none	-	-	-	-	abbr	-
-	sd	0	none	-	-	-	-	abbr	-
-	sin	0	none	-	-	-	-	abbr	-
-	so.	0	none	-	-	-	-	abbr	-
-	su	0	none	-	-	-	-	abbr	-
-	suom.	0	none	-	-	-	-	abbr	-
-	terv.	0	none	-	-	-	-	abbr	-
-	ti	0	none	-	-	-	-	abbr	-
-	tms.	0	none	-	-	-	-	abbr	-
-	to	0	none	-	-	-	-	abbr	-
-	toim.	0	none	-	-	-	-	abbr	-
-	torj.	-	none	-	-	-	-	abbr	-
-	ts.	0	none	-	-	-	-	abbr	-
-	v.	0	none	-	-	-	-	abbr	-
-	vas	0	none	-	-	-	-	abbr	-
-	vas.	0	none	-	-	-	-	abbr	-
-	ven.	0	none	-	-	-	-	abbr	-
-	vietn.	0	none	-	-	-	-	abbr	-
-	vihr.	0	none	-	-	-	-	abbr	-
-	vko	0	none	-	-	-	-	abbr	-
-	vol.	0	none	-	-	-	-	abbr	-
-	vrt.	0	none	-	-	-	-	abbr	-
-	vs.	0	none	-	-	-	-	abbr	-
-	yks.	0	none	-	-	-	-	abbr	-
-	ym.	0	none	-	-	-	-	abbr	-
-	yms.	0	none	-	-	-	-	abbr	-
-	yo.	0	none	-	-	-	-	abbr	-
-	yst.	0	none	-	-	-	-	abbr	-
-	yst.terv.	0	none	-	-	-	-	abbr	-
-	ADHD	0	noun	18B	-	-	e	abbr	-
-	BKT	0	noun	18B	-	front|back	e	abbr	-
-	CV	0	noun	18B	-	-	e	abbr	-
-	Co.	-	noun	XX	-	-	-	abbr	-
-	DI	0	noun	18B	-	-	i	abbr	-
-	DNA	0	noun	18B	-	-	a	abbr	-
-	FM	0	noun	10B	-	-	-	abbr	-
-	FT	0	noun	18B	-	-	e	abbr	-
-	HuK	0	noun	18B	-	-	o	abbr	-
-	LuK	0	noun	18B	-	-	-	abbr	-
-	TV	0	noun	18B	-	-	e	abbr	-
-	ab	0	noun	18B	-	-	e	abbr	-
-	bkt	0	noun	18B	-	front|back	e	abbr	-
-	btm	0	noun	5	-	-	-	abbr	-
-	ky	0	noun	18B	-	-	y	abbr	-
-	lng	0	noun	18B	-	-	e	abbr	-
-	oy	0	noun	18B	-	-	y	abbr	-
-	oyj	0	noun	18B	-	-	i	abbr	-
-	pj.	0	noun	XX	-	-	-	abbr	-
-	ry	0	noun	18B	-	-	y	abbr	-
-	tj.	0	noun	XX	-	-	-	abbr	-
-	tri	0	noun	18	-	-	-	abbr	-
-	tv	0	noun	18B	-	-	e	abbr	-
